transaction_id,customer_id,branch_id,raw_transaction_type,raw_channel,raw_transaction_date,raw_transaction_time,amount_local,local_currency,amount_usd,raw_description,reference_code,balance_after_local
1,1191,113,debit,internet banking,13-Jul-2023,15:15:16,1618334.62,EUR,1747801.39,POS purchase,REF000000001,215866.12
2,827,108, Debit ,POS Terminal,2025-05-23,16:26:54,367108.1,KES,2826.73,Salary payment,REF000000002,2897747.82
3,84,104,Debit,Internet Banking,17/10/2023,20:11:51,287531.3,NGN,178.27,Standing order,REF000000003,1319143.07
4,739,111,Credit,POS Terminal,08/03/2023,13:41:06,1885558.12,ZAR,103705.7,Salary payment,REF000000004,9554725.74
5,273,110,Debit,,2023-05-14,16:18:02,155234.44,ZAR,8537.89,Standing order,REF000000005,8900192.89
6,1083,115,credit,ATM,06/02/2023,04:45:39,1768607.55,USD,1768607.55,Standing order,REF000000006,9988323.25
7,1044,108,debit,ATM,12/25/2024,13:33:25,837089.69,KES,6445.59,Cash deposit,REF000000007,2145023.66
8,1209,111, Credit ,A.T.M,10/07/2023,17:59:51,1347397.75,ZAR,74106.88,ATM withdrawal,REF000000008,420679.81
9,498,112,credit,pos,08/22/2025,01:33:43,1947337.02,GBP,2473118.02,Bill payment,REF000000009,5786060.72
10,425,104, Debit ,atm,01/21/2023,00:58:03,682907.74,NGN,423.4,Loan repayment,REF000000010,7961117.84
11,1053,101,debit,USSD,01/15/2023,20:59:18,985129.14,NGN,610.78,Merchant payment,REF000000011,6237389.53
12,1564,108,credit,POS Terminal,12/30/2025,02:14:10,923961.5,KES,7114.5,Airtime top-up,REF000000012,1527608.65
13,1711,104, Credit ,Branch,02/29/2024,04:36:29,1341406.73,NGN,831.67,Fund transfer,REF000000013,2559966.06
14,244,106,Debit,Branch,08/30/2024,17:43:54,1785889.77,GHS,117868.72,Fund transfer,REF000000014,2917119.02
15,1401,109,CREDIT,ATM,24/06/2023,09:23:38,536896.92,KES,4134.11,Merchant payment,REF000000015,8140093.92
16,1814,110,Credit,mobile app,22-Dec-2023,13:13:25,822476.38,ZAR,45236.2,Fund transfer,REF000000016,3595398.66
17,1396,111,Credit,Internet Banking,2025-01-18,08:53:58,672695.62,ZAR,36998.26,Merchant payment,REF000000017,3609341.26
18,30,114,Credit,A.T.M,20/10/2025,01:39:37,108896.18,AED,29619.76,Merchant payment,REF000000018,7895651.15
19,207,114,DEBIT,POS,06/09/2023,11:37:45,1000898.1,AED,272244.28,Bill payment,REF000000019,2365530.5
20,1760,114,CREDIT,A.T.M,06/02/2025,18:26:16,37263.8,AED,10135.75,ATM withdrawal,REF000000020,4057648.97
21,195,108, Debit ,atm,02/14/2024,10:11:00,1698490.32,KES,13078.38,Airtime top-up,REF000000021,8094713.95
22,840,104, Debit ,Mobile App,04/22/2023,02:24:47,553016.95,NGN,342.87,Bill payment,REF000000022,2311796.7
23,830,107,Credit,A.T.M,13-Jul-2023,01:57:35,1906893.69,GHS,125854.98,Salary payment,REF000000023,639002.16
24,184,108,Debit,*966#,2025-07-08,19:50:37,590558.91,KES,4547.3,ATM withdrawal,REF000000024,462965.52
25,1664,103,CREDIT,ATM,14-Aug-2023,00:35:04,1196234.48,NGN,741.67,Fund transfer,REF000000025,4131280.74
26,967,111,debit,internet banking,21-Apr-2024,05:51:26,1995490.45,ZAR,109751.97,Fund transfer,REF000000026,871195.81
27,1746,107,CREDIT,atm,06/04/2025,11:11:16,219300.03,GHS,14473.8,Airtime top-up,REF000000027,8063053.18
28,1152,108, Debit ,ATM,09/02/2025,03:03:25,828719.29,KES,6381.14,Airtime top-up,REF000000028,2949232.9
29,366,112,DEBIT,internet banking,31-Jan-2024,14:28:28,575453.28,GBP,730825.67,Salary payment,REF000000029,3672716.74
30,184,108,Debit,*966#,17-Oct-2025,06:09:08,1426852.18,KES,10986.76,Fund transfer,REF000000030,1632983.35
31,266,104,credit,Mobile App,08/10/2024,16:39:45,1820275.44,NGN,1128.57,Cash deposit,REF000000031,8618805.95
32,215,111,DEBIT,atm,2025-09-04,10:55:07,187685.75,ZAR,10322.72,ATM withdrawal,REF000000032,1160979.41
33,644,110,Debit,POS,22-Oct-2025,11:56:19,1932322.97,ZAR,106277.76,POS purchase,REF000000033,9153153.11
34,444,115,DEBIT,A.T.M,2025-06-27,23:30:57,1683190.23,USD,1683190.23,Standing order,REF000000034,8913660.95
35,2,104,debit,USSD,19/04/2025,19:20:19,1809440.37,NGN,1121.85,Salary payment,REF000000035,5427943.73
36,1040,109,credit,mobile app,01/11/2023,08:00:57,244930.9,KES,1885.97,Loan repayment,REF000000036,8829445.55
37,192,101,CREDIT,A.T.M,2025-08-03,12:06:13,1300677.43,NGN,806.42,POS purchase,REF000000037,6721359.57
38,989,101,credit,mobile app,03/12/2024,02:42:33,1263115.27,NGN,783.13,Airtime top-up,REF000000038,297104.88
39,537,103, Debit ,pos,13/10/2024,18:24:22,1910059.48,NGN,1184.24,Salary payment,REF000000039,307496.52
40,1246,110,CREDIT,*966#,11-May-2023,09:54:08,1562402.26,ZAR,85932.12,Merchant payment,REF000000040,5530000.47
41,323,107,DEBIT,Branch,2024-08-18,03:26:55,560679.38,GHS,37004.84,Airtime top-up,REF000000041,3030265.68
42,1443,107,DEBIT,USSD,2023-05-23,08:56:30,634548.72,GHS,41880.22,Loan repayment,REF000000042,9426346.01
43,314,115, Debit ,pos,07/16/2024,04:14:53,125362.82,USD,125362.82,Airtime top-up,REF000000043,7423695.12
44,1738,115,debit,A.T.M,12/06/2023,16:16:25,110100.9,USD,110100.9,Fund transfer,REF000000044,6134202.8
45,524,101,Debit,pos,25/07/2024,12:20:09,129726.91,NGN,80.43,Loan repayment,REF000000045,2571948.33
46,408,104,debit,ATM,2024-04-23,13:48:55,541037.92,NGN,335.44,Loan repayment,REF000000046,338293.52
47,711,104,credit,POS,2024-08-12,03:44:56,426782.93,NGN,264.61,ATM withdrawal,REF000000047,6408033.0
48,1622,111,CREDIT,USSD,2024-05-10,21:00:31,1086872.16,ZAR,59777.97,Merchant payment,REF000000048,5355751.62
49,1264,106,Credit,ATM,19/10/2024,23:24:03,223396.03,GHS,14744.14,ATM withdrawal,REF000000049,1065670.95
50,1470,112,Debit,POS,22-Oct-2024,20:18:31,613230.39,GBP,778802.6,Bill payment,REF000000050,2675379.56
51,489,110,CREDIT,A.T.M,30/01/2025,07:27:48,1206161.76,ZAR,66338.9,Loan repayment,REF000000051,5020129.03
52,790,101,Debit,Branch,16-Nov-2023,07:04:42,1617396.91,NGN,1002.79,Fund transfer,REF000000052,488765.41
53,10,110,debit,internet banking,14/03/2024,00:05:58,1495394.07,ZAR,82246.67,Loan repayment,REF000000053,5570531.44
54,1520,106, Credit ,internet banking,05-Jul-2025,20:01:47,1240496.87,GHS,81872.79,Salary payment,REF000000054,3276175.65
55,1717,112, Credit ,Internet Banking,2024-12-26,19:22:30,1843440.58,GBP,2341169.54,POS purchase,REF000000055,5306845.53
56,979,102,Credit,*966#,10/11/2023,12:32:03,793758.01,NGN,492.13,Standing order,REF000000056,6056429.6
57,1944,115,debit,,19-Dec-2023,02:27:40,190151.11,USD,190151.11,ATM withdrawal,REF000000057,353301.96
58,1505,114,CREDIT,Internet Banking,02/19/2025,23:31:32,1292338.59,AED,351516.1,Cash deposit,REF000000058,9968941.91
59,1627,113,credit,atm,21/04/2023,16:51:12,178515.31,EUR,192796.53,POS purchase,REF000000059,4604039.04
60,1278,102, Credit ,POS,11/11/2024,17:09:49,1652083.79,NGN,1024.29,Bill payment,REF000000060,9555753.87
61,402,111,Credit,Internet Banking,05/11/2024,15:31:08,692759.37,ZAR,38101.77,Fund transfer,REF000000061,9428805.89
62,1944,115,credit,pos,2025-05-28,13:11:44,921257.06,USD,921257.06,POS purchase,REF000000062,1895606.06
63,1725,103,Credit,POS Terminal,24/12/2023,20:45:31,377663.6,NGN,234.15,Merchant payment,REF000000063,2325999.04
64,1069,106, Credit ,ATM,06/04/2024,03:43:57,619382.25,GHS,40879.23,Standing order,REF000000064,2527054.27
65,77,101,Debit,A.T.M,06/18/2025,15:16:07,739547.04,NGN,458.52,Standing order,REF000000065,7089382.3
66,633,111, Credit ,USSD,21-Oct-2023,01:55:42,658908.19,ZAR,36239.95,Fund transfer,REF000000066,2263023.96
67,1898,111,Debit,mobile app,05-Jan-2023,11:44:54,1478512.97,ZAR,81318.21,Standing order,REF000000067,8007465.57
68,1543,106,Credit,mobile app,03/04/2024,09:42:50,364678.85,GHS,24068.8,Standing order,REF000000068,3483009.96
69,324,108, Credit ,internet banking,2024-03-31,13:43:50,1809006.14,KES,13929.35,Airtime top-up,REF000000069,851587.67
70,705,104,Credit,ATM,2023-08-01,21:56:40,147767.58,NGN,91.62,POS purchase,REF000000070,294781.17
