loan_id,customer_id,branch_id,raw_loan_status,loan_purpose,local_currency,loan_amount_local,loan_amount_usd,interest_rate_pct,tenure_months,amount_repaid_local,outstanding_balance,raw_disbursement_date,raw_maturity_date
1,1777,114,approved,Personal Loan,AED,3509456.3,954572.11,25.73,36,1966841.92,1542614.38,27-Dec-2020,2023-05-04
2,1585,110,fully paid,Mortgage,ZAR,9782558.93,538040.74,12.78,12,2259230.19,7523328.74,01/29/2023,30/05/2024
3,1309,103,PENDING REVIEW,Mortgage,NGN,1116169.94,692.03,7.66,24,105740.62,1010429.32,2022-04-04,2027-11-24
4,1411,104, Active ,Agricultural Loan,NGN,16818530.74,10427.49,24.74,12,7197232.93,9621297.81,07-Jul-2024,2027-06-23
5,1775,101,FULLY PAID,Personal Loan,NGN,11809674.38,7322.0,22.27,12,657557.56,11152116.82,04/26/2021,09/10/2027
6,1088,114,Fully Paid,SME Working Capital,AED,7964595.51,2166369.98,6.48,18,7290766.68,673828.83,2022-06-24,18-Feb-2025
7,1280,113,active,Education Finance,EUR,6094487.45,6582046.45,4.59,60,3348511.03,2745976.42,07/31/2024,10-May-2026
8,1524,110,RESTRUCTURED,Auto Loan,ZAR,15974959.73,878622.79,5.72,48,6516418.41,9458541.32,24-Mar-2024,23-May-2026
9,1886,104,Fully Paid,Auto Loan,NGN,10101339.07,6262.83,11.06,48,9308422.27,792916.8,14-Apr-2022,2023-09-11
10,1262,103,FULLY PAID,SME Working Capital,NGN,3910111.51,2424.27,19.04,36,3579744.52,330366.99,05/22/2020,2025-01-09
11,126,101,RESTRUCTURED,Trade Finance / Import,NGN,9333159.8,5786.56,12.46,18,4030622.41,5302537.39,04/04/2022,03/06/2026
12,1824,102,written off,Trade Finance / Import,NGN,1340096.24,830.86,10.83,6,965138.8,374957.44,2022-09-15,2026-10-01
13,762,104, Active ,Mortgage,NGN,16138750.61,10006.03,8.34,6,1558573.74,14580176.87,31/05/2020,2027-01-22
14,298,107, Active ,Auto Loan,GHS,17443577.47,1151276.11,26.67,60,16983546.67,460030.8,15/03/2022,03/09/2025
15,545,112,WRITTEN OFF,Trade Finance / Import,GBP,17479216.67,22198605.17,24.37,12,559910.32,16919306.35,17/09/2021,22-Feb-2024
16,20,105,fully paid,Education Finance,NGN,4166167.65,2583.02,13.57,18,1636120.37,2530047.28,27/08/2020,2024-07-12
17,1308,110,written off,Education Finance,ZAR,17586337.65,967248.57,18.18,18,5482625.37,12103712.28,07/10/2022,07/02/2023
18,185,104,APPROVED,Asset Finance,NGN,1230313.82,762.79,25.08,12,213911.82,1016402.0,12-Aug-2020,11/27/2024
19,160,105,RESTRUCTURED,Education Finance,NGN,9092361.11,5637.26,8.7,60,6424091.69,2668269.42,06/02/2024,04/22/2024
20,1632,107,approved,Personal Loan,GHS,13916058.9,918459.89,22.95,18,9002684.04,4913374.86,2023-07-11,2024-03-10
21,42,111,restructured,Agricultural Loan,ZAR,4873425.04,268038.38,22.55,48,2837062.1,2036362.94,01/08/2020,06/04/2025
22,204,104,APPROVED,SME Working Capital,NGN,19036074.83,11802.37,24.6,48,11265329.35,7770745.48,05/13/2024,13-Dec-2026
23,1098,110,active,Trade Finance / Import,ZAR,646510.33,35558.07,20.24,12,562322.65,84187.68,03/12/2022,2025-01-08
24,816,112,pending review,Mortgage,GBP,13516279.54,17165675.02,6.84,60,12240869.8,1275409.74,19/12/2021,07/06/2025
25,965,102,pending review,Personal Loan,NGN,11877061.16,7363.78,22.39,36,6862544.75,5014516.41,22/10/2021,20/04/2023
26,636,101,Fully Paid,Auto Loan,NGN,8679412.87,5381.24,18.61,48,6770602.58,1908810.29,27/07/2024,2023-11-19
27,270,112,WRITTEN OFF,Education Finance,GBP,17502732.2,22228469.89,8.15,60,5446191.5,12056540.7,29/10/2024,2026-07-15
28,534,103,pending review,Education Finance,NGN,18047140.01,11189.23,10.57,36,2039498.73,16007641.28,2024-06-08,26/07/2026
29,1882,115,PENDING REVIEW,SME Working Capital,USD,15361623.47,15361623.47,9.61,12,2405637.35,12955986.12,09/18/2023,09-Jan-2026
30,88,112,RESTRUCTURED,Auto Loan,GBP,12077077.1,15337887.92,26.18,12,9439253.1,2637824.0,24/07/2020,2026-04-29
31,1577,113,pending review,SME Working Capital,EUR,13484133.99,14562864.71,22.1,60,5914868.15,7569265.84,05-Jan-2024,30/10/2023
32,910,111,written off,Auto Loan,ZAR,9672949.98,532012.25,6.77,60,7941307.76,1731642.22,25/04/2021,12/20/2024
33,275,109,fully paid,Education Finance,KES,18574154.41,143020.99,5.65,6,16342339.24,2231815.17,06/09/2020,2026-07-30
34,365,101,approved,Auto Loan,NGN,14016278.28,8690.09,16.11,36,6786880.81,7229397.47,11/21/2021,22/02/2026
35,1936,103,RESTRUCTURED,Auto Loan,NGN,7643455.08,4738.94,10.94,18,5222639.81,2420815.27,27/09/2024,2024-05-03
36,205,108, Active ,Auto Loan,KES,14913639.12,114835.02,17.37,36,6696688.65,8216950.47,03/20/2020,03/10/2027
