branch_id,raw_branch_name,raw_country,raw_local_currency,report_date,total_transactions,total_debit_local,total_credit_local,new_accounts_opened,loan_applications,atm_downtime_minutes,raw_staff_count,net_inflow_outflow
101,  Victoria Island Lagos  ,Nigeria,ngn,6/30/2025,278,740712.75,557351.12,2,9,0,17,-177752.12
101,VICTORIA ISLAND LAGOS,Nigeria,ngn,6/29/2025,783,3266927.97,2747460.33,7,7,0,22,-5266.5
101,victoria island lagos,Nigeria, Ngn ,6/28/2025,398,1425463.14,1115803.12,10,1,45,6,65949.11
101,  Victoria Island Lagos  ,Nigeria,NGN,27-Jun-25,797,2324153.15,667889.51,12,1,45,21,5224.8
101,VICTORIA ISLAND LAGOS,Nigeria,NGN,26-Jun-25,727,1178096.46,1482470.42,2,3,15,7,66088.36
101,  Victoria Island Lagos  ,Nigeria,ngn,25/06/2025,429,1808589.97,3367367.11,2,9,15,24,-80202.95
101,Victoria Island Lagos,Nigeria,Ngn,6/24/2025,705,3456401.69,1137095.11,10,0,0,11,375261.82
101,VICTORIA ISLAND LAGOS,Nigeria,ngn,23-Jun-25,630,4388019.75,1607655.51,15,6,5,24,121196.3
101,  Victoria Island Lagos  ,Nigeria, Ngn ,22-Jun-25,647,2027032.5,1135637.76,4,8,0,19,-136363.41
101,victoria island lagos,Nigeria,ngn,6/21/2025,861,3418382.01,3002224.7,12,6,65,23,497284.97
101,VICTORIA ISLAND LAGOS,Nigeria,NGN,20-Jun-25,748,4429702.83,3766845.11,10,1,120,13,104335.68
101,  Victoria Island Lagos  ,Nigeria,ngn,19/06/2025,569,4567507.8,4359066.92,9,10,0,20,226279.15
101,victoria island lagos,Nigeria,NGN,6/18/2025,663,1654572.48,146409.87,11,4,5,11,-159452.38
101,Victoria Island Lagos,Nigeria,NGN,6/17/2025,828,2686895.54,672514.53,15,8,0,9,-14460.36
101,victoria island lagos,Nigeria,Ngn,16/06/2025,458,4975989.32,3266896.39,14,8,90,18,-115297.06
101,VICTORIA ISLAND LAGOS,Nigeria,ngn,6/15/2025,652,1140076.05,401415.78,1,3,0,6,433794.01
101,victoria island lagos,Nigeria,Ngn,14-Jun-25,735,2452801.77,2719207.96,15,3,0,19,365247.9
101,Victoria Island Lagos,Nigeria,Ngn,6/13/2025,483,2084956.27,4325991.9,1,10,0,24,488915.65
101,  Victoria Island Lagos  ,Nigeria,NGN,6/12/2025,304,998370.86,2704614.48,4,6,0,9,-5018.4
101,VICTORIA ISLAND LAGOS,Nigeria, Ngn ,6/11/2025,877,4313678.07,2774110.3,1,10,65,21,385219.31
101,victoria island lagos,Nigeria,ngn,6/10/2025,466,2453923.57,1108049.13,12,0,90,9,65281.18
101,Victoria Island Lagos,Nigeria,Ngn,9/6/2025,483,3498127.94,3666001.32,15,2,0,10,7695.48
101,VICTORIA ISLAND LAGOS,Nigeria,Ngn,6/8/2025,108,298204.57,2410103.16,5,0,15,20,-143921.97
101,VICTORIA ISLAND LAGOS,Nigeria,ngn,6/7/2025,463,643438.74,4456922.2,7,9,0,23,-172180.84
101,  Victoria Island Lagos  ,Nigeria,Ngn,6/6/2025,259,3365143.58,1605210.12,8,6,5,8,270183.16
101,VICTORIA ISLAND LAGOS,Nigeria,NGN,5-Jun-25,519,3124738.31,2836818.55,3,1,5,21,-50791.98
101,  Victoria Island Lagos  ,Nigeria,NGN,4-Jun-25,300,1879159.09,830846.82,9,9,0,24,170258.48
101,VICTORIA ISLAND LAGOS,Nigeria,ngn,3-Jun-25,320,621371.92,579828.09,4,4,90,13,223380.88
101,  Victoria Island Lagos  ,Nigeria, Ngn ,2-Jun-25,307,4531415.63,4238213.38,2,10,0,17,380543.66
101,victoria island lagos,Nigeria,Ngn,6/1/2025,215,3719093,2780818.08,13,8,0,4,-121688.28
101,  Victoria Island Lagos  ,Nigeria,ngn,5/31/2025,490,680855.32,1575878.83,1,5,15,10,277446.68
101,Victoria Island Lagos,Nigeria,ngn,5/30/2025,292,4329798.2,4882219.86,5,6,5,4,-74447.54
101,Victoria Island Lagos,Nigeria,ngn,29-May-25,323,838029.32,3521327.03,12,0,45,19,-44296.4
101,victoria island lagos,Nigeria,ngn,28/05/2025,74,3317164.25,2022406.59,8,1,5,12,45802.29
101,  Victoria Island Lagos  ,Nigeria,NGN,27/05/2025,168,4391340.14,1343015.22,8,0,30,7,217599.88
101,  Victoria Island Lagos  ,Nigeria, Ngn ,26-May-25,670,4921967.45,622446.63,6,4,30,5,296149.7
101,victoria island lagos,Nigeria,Ngn,5/25/2025,491,396370.37,3337976.54,10,9,15,14,264371.23
101,  Victoria Island Lagos  ,Nigeria,Ngn,5/24/2025,732,2071544.9,2041881.92,9,8,30,8,-65711.93
101,victoria island lagos,Nigeria,Ngn,23/05/2025,465,2762289.21,52009.4,9,3,30,17,350031.18
101,Victoria Island Lagos,Nigeria,ngn,22-May-25,573,2392271.62,4510845.09,5,10,5,6,-1349.52
101,victoria island lagos,Nigeria,Ngn,21-May-25,280,4042486.33,779402.11,1,3,0,19,227891.78
101,victoria island lagos,Nigeria, Ngn ,5/20/2025,556,2028281.67,780478.16,0,1,5,17,-46811.2
101,victoria island lagos,Nigeria,NGN,19/05/2025,517,710028.57,2349984.03,10,7,0,23,370504.56
101,Victoria Island Lagos,Nigeria,ngn,18/05/2025,811,4314399.8,2277845.3,7,10,45,12,336069.58
101,  Victoria Island Lagos  ,Nigeria, Ngn ,17/05/2025,129,3582047.07,1210743.21,10,5,15,21,-143595.64
101,victoria island lagos,Nigeria,ngn,5/16/2025,115,2103596.08,1687862.89,14,6,0,5,-55215.93
101,VICTORIA ISLAND LAGOS,Nigeria, Ngn ,15/05/2025,538,79185.61,1791206.07,12,6,5,21,323260.97
101,  Victoria Island Lagos  ,Nigeria, Ngn ,5/14/2025,547,193672.86,1713841.24,12,2,5,18,443679.13
101,VICTORIA ISLAND LAGOS,Nigeria,NGN,5/13/2025,708,2171633.21,4340914.21,5,0,65,12,65372.7
101,  Victoria Island Lagos  ,Nigeria, Ngn ,5/12/2025,334,3772448.63,4168025.21,8,1,5,19,-186431.7
101,  Victoria Island Lagos  ,Nigeria,ngn,5/11/2025,715,389660.93,4788563.73,1,0,120,11,-60447.52
101,victoria island lagos,Nigeria,ngn,5/10/2025,534,3363821.28,2841649.43,6,7,15,12,336828.67
101,VICTORIA ISLAND LAGOS,Nigeria,ngn,5/9/2025,368,585088.81,177108.21,9,9,15,25,435618.31
101,victoria island lagos,Nigeria,NGN,8/5/2025,656,3468541.36,3154849.86,3,4,5,25,220288.13
101,VICTORIA ISLAND LAGOS,Nigeria,Ngn,5/7/2025,595,2170471.17,1884325.84,10,0,45,17,375631.64
101,  Victoria Island Lagos  ,Nigeria, Ngn ,5/6/2025,774,807306.19,921877.96,8,9,5,21,342249.02
101,  Victoria Island Lagos  ,Nigeria,Ngn,5/5/2025,301,4162118.54,478981.35,14,3,5,18,198894.75
101,Victoria Island Lagos,Nigeria,Ngn,4/5/2025,236,2463372.17,1806383.58,8,5,5,12,416223.99
101,victoria island lagos,Nigeria,NGN,3-May-25,297,3614369.59,2468460.34,7,7,15,24,298289.68
101,VICTORIA ISLAND LAGOS,Nigeria,Ngn,2/5/2025,276,2051785.59,1254360.56,11,7,45,21,171645.35
101,  Victoria Island Lagos  ,Nigeria,Ngn,1/5/2025,769,2296039.05,1567783.81,7,1,120,10,20883.56
101,Victoria Island Lagos,Nigeria,Ngn,4/30/2025,791,2968455.18,3813029.08,9,1,0,10,7372.52
101,VICTORIA ISLAND LAGOS,Nigeria,ngn,29-Apr-25,330,275302.72,319903.8,9,2,0,24,407922.84
101,VICTORIA ISLAND LAGOS,Nigeria,Ngn,28/04/2025,530,2419635.33,1736494.37,1,4,0,19,-120139
101,VICTORIA ISLAND LAGOS,Nigeria,NGN,4/27/2025,205,788528.04,2836056.01,9,1,5,11,-117083.91
101,victoria island lagos,Nigeria, Ngn ,26/04/2025,511,4547096.67,1521898.01,13,4,15,22,234719.12
101,victoria island lagos,Nigeria,ngn,4/25/2025,320,3319119.28,827432.61,5,8,90,6,-90427.17
101,Victoria Island Lagos,Nigeria,Ngn,24/04/2025,83,1195807.36,3549431.36,14,1,5,25,-36603.34
101,victoria island lagos,Nigeria, Ngn ,23-Apr-25,167,2745583.77,3255791.88,8,2,45,6,-158253.37
101,  Victoria Island Lagos  ,Nigeria, Ngn ,22-Apr-25,177,2370054.95,1555251.39,12,4,15,20,177987.09
101,VICTORIA ISLAND LAGOS,Nigeria, Ngn ,21/04/2025,802,1645491.84,1289321.12,2,3,0,25,385171.03
101,  Victoria Island Lagos  ,Nigeria,NGN,4/20/2025,831,3793530.71,2378979.08,14,4,120,9,497861.83
101,Victoria Island Lagos,Nigeria,NGN,19/04/2025,531,1772407.23,1699876.55,3,2,15,14,88151.56
101,Victoria Island Lagos,Nigeria,NGN,18/04/2025,515,485895.97,1299374.31,3,6,0,20,377449.04
101,Victoria Island Lagos,Nigeria, Ngn ,4/17/2025,105,978533.58,1840807.83,15,10,30,18,331993.38
101,victoria island lagos,Nigeria,Ngn,4/16/2025,498,4410190.76,2449323.39,0,10,0,23,359519.61
101,VICTORIA ISLAND LAGOS,Nigeria, Ngn ,4/15/2025,145,1162268.26,4214958.12,3,7,5,7,253396.78
101,  Victoria Island Lagos  ,Nigeria,Ngn,4/14/2025,475,4181883.53,4902210.93,7,7,5,21,-98750.62
101,victoria island lagos,Nigeria,NGN,4/13/2025,332,3874741.91,4279341.28,10,8,90,12,374384.63
101,Victoria Island Lagos,Nigeria,ngn,12-Apr-25,507,2715973.86,1758363.51,12,7,30,14,408721.18
101,victoria island lagos,Nigeria, Ngn ,4/11/2025,94,1624972.82,2391232.44,12,6,15,25,354675.56
101,VICTORIA ISLAND LAGOS,Nigeria,ngn,4/10/2025,564,4828500.27,1693373.78,3,7,5,7,168165.76
101,victoria island lagos,Nigeria, Ngn ,9/4/2025,720,4851286.13,420399.83,8,5,0,23,284893.22
101,Victoria Island Lagos,Nigeria,Ngn,4/8/2025,691,3607651.25,3809038.96,1,9,65,6,-35660.83
101,VICTORIA ISLAND LAGOS,Nigeria, Ngn ,7-Apr-25,150,3813829.98,3534259.61,3,7,120,9,285800.81
101,VICTORIA ISLAND LAGOS,Nigeria,Ngn,4/6/2025,417,1905463.39,770570.49,13,9,0,25,354763.63
101,Victoria Island Lagos,Nigeria,ngn,4/5/2025,559,4568503.63,758432.71,14,10,0,12,121699.35
101,Victoria Island Lagos,Nigeria,Ngn,4/4/2025,743,2755660.78,415616.41,11,9,65,13,247257.09
101,Victoria Island Lagos,Nigeria,Ngn,3/4/2025,253,4996899.15,4274010.52,3,3,30,16,200345.88
101,  Victoria Island Lagos  ,Nigeria,NGN,2-Apr-25,899,3308237.59,1408677.88,1,9,120,19,382987.23
102,ikeja gra lagos,Nigeria,Ngn,30-Jun-25,274,3201258.5,3123411.26,4,10,45,7,432382.59
102,Ikeja GRA Lagos,Nigeria,NGN,6/29/2025,643,1856063.1,700488.44,9,5,5,17,-77051.95
102,  Ikeja GRA Lagos  ,Nigeria,Ngn,6/28/2025,900,864494.88,4574542.32,15,4,45,14,362962.78
102,ikeja gra lagos,Nigeria,ngn,27/06/2025,742,3634872.72,4900714.1,11,1,90,16,-190256.94
