branch_name,total_credits_usd,total_debits_usd,net_position_usd,transaction_count,avg_transaction_usd
"London Canary Wharf",921673630.14,836015884.96,85657745.18,1366,1286741.96
"New York Midtown",603867322.68,596044004.37,7823318.31,1221,982728.36
"Dubai DIFC",171171869.91,165277145.18,5894724.73,1301,258608.01
"Accra Downtown",43755339.11,40545698.32,3209640.79,1296,65047.10
"Cape Town City Centre",42513073.61,41646383.19,866690.42,1544,54507.42
"Nairobi CBD",5734418.44,5579875.66,154542.78,1458,7760.15
"Mombasa Coastal",5077585.86,5015920.73,61665.13,1299,7770.21
"Abuja Central",486564.65,473445.18,13119.47,1502,639.15
"Port Harcourt City",447369.47,436060.75,11308.72,1395,633.28
"Ikeja GRA Lagos",378080.78,369218.12,8862.66,1207,619.14
"Victoria Island Lagos",412619.86,419809.09,-7189.23,1356,613.89
"Johannesburg Sandton",34262245.29,34282811.79,-20566.50,1240,55278.27
"Kano Commercial District",308599.08,332928.77,-24329.69,1062,604.08
"Kumasi Branch",43754244.82,47551523.33,-3797278.51,1427,63984.42
"Frankfurt International",688066498.92,724791467.73,-36724968.81,1326,1065503.75
