branch_name,total_disbursed_usd,npl_amount_usd,npl_ratio_pct
"Kano Commercial District",816648.04,267937.08,32.81
"Dubai DIFC",600887531.23,190219603.96,31.66
"Johannesburg Sandton",97343458.44,29497147.59,30.30
"Cape Town City Centre",119994195.92,33420410.64,27.85
"Frankfurt International",2191654574.64,572882337.37,26.14
"Mombasa Coastal",15936425.79,3927786.89,24.65
"Ikeja GRA Lagos",1244434.85,298092.07,23.95
"Port Harcourt City",1166326.25,270834.92,23.22
"London Canary Wharf",2635890420.24,589199257.67,22.35
"Abuja Central",1407077.27,311406.18,22.13
"Nairobi CBD",17914094.17,3874471.95,21.63
"Accra Downtown",125688886.22,25975177.41,20.67
"Victoria Island Lagos",1198412.22,242700.90,20.25
"Kumasi Branch",117874958.19,22338369.02,18.95
"New York Midtown",2094590064.56,395332527.88,18.87
