branch_name,report_month,avg_monthly_transactions,avg_atm_downtime_minutes,downtime_status
"Abuja Central",1970-01,447.27,21.55,"Normal Downtime"
"Accra Downtown",1970-01,484.61,16.46,"Normal Downtime"
"Cape Town City Centre",1970-01,465.04,22.83,"Normal Downtime"
"Dubai DIFC",1970-01,537.68,31.73,"Normal Downtime"
"Frankfurt International",1970-01,469.18,22.01,"Normal Downtime"
"Ikeja GRA Lagos",1970-01,545.72,22.76,"Normal Downtime"
"Johannesburg Sandton",1970-01,445.48,27.13,"Normal Downtime"
"Kano Commercial District",1970-01,451.31,20.71,"Normal Downtime"
"Kumasi Branch",1970-01,452.54,19.81,"Normal Downtime"
"London Canary Wharf",1970-01,495.80,28.92,"Normal Downtime"
"Mombasa Coastal",1970-01,457.76,18.38,"Normal Downtime"
"Nairobi CBD",1970-01,458.43,22.34,"Normal Downtime"
"New York Midtown",1970-01,436.27,18.33,"Normal Downtime"
"Port Harcourt City",1970-01,497.34,25.66,"Normal Downtime"
"Victoria Island Lagos",1970-01,488.66,27.64,"Normal Downtime"
"Abuja Central",2025-04,467.80,16.00,"Normal Downtime"
"Accra Downtown",2025-04,471.86,20.00,"Normal Downtime"
"Cape Town City Centre",2025-04,251.00,8.75,"Normal Downtime"
"Dubai DIFC",2025-04,619.60,19.00,"Normal Downtime"
"Frankfurt International",2025-04,429.75,42.50,"Normal Downtime"
"Ikeja GRA Lagos",2025-04,443.00,36.00,"Normal Downtime"
"Johannesburg Sandton",2025-04,429.33,10.00,"Normal Downtime"
"Kano Commercial District",2025-04,561.60,7.00,"Normal Downtime"
"Kumasi Branch",2025-04,390.50,27.50,"Normal Downtime"
"London Canary Wharf",2025-04,458.00,33.75,"Normal Downtime"
"Mombasa Coastal",2025-04,546.78,26.11,"Normal Downtime"
"Nairobi CBD",2025-04,718.25,35.00,"Normal Downtime"
"New York Midtown",2025-04,206.67,5.00,"Normal Downtime"
"Port Harcourt City",2025-04,622.00,28.00,"Normal Downtime"
"Victoria Island Lagos",2025-04,495.33,5.83,"Normal Downtime"
"Abuja Central",2025-05,621.25,36.25,"Normal Downtime"
"Accra Downtown",2025-05,542.00,23.33,"Normal Downtime"
"Cape Town City Centre",2025-05,392.67,0.00,"Normal Downtime"
"Dubai DIFC",2025-05,436.00,36.25,"Normal Downtime"
"Frankfurt International",2025-05,362.80,20.00,"Normal Downtime"
"Ikeja GRA Lagos",2025-05,600.20,8.00,"Normal Downtime"
"Johannesburg Sandton",2025-05,476.50,10.00,"Normal Downtime"
"Kano Commercial District",2025-05,551.00,30.00,"Normal Downtime"
"Kumasi Branch",2025-05,295.50,20.00,"Normal Downtime"
"London Canary Wharf",2025-05,308.75,18.75,"Normal Downtime"
"Mombasa Coastal",2025-05,524.29,26.43,"Normal Downtime"
"Nairobi CBD",2025-05,468.29,23.57,"Normal Downtime"
"New York Midtown",2025-05,369.50,7.50,"Normal Downtime"
"Port Harcourt City",2025-05,275.20,6.00,"Normal Downtime"
"Victoria Island Lagos",2025-05,386.00,18.57,"Normal Downtime"
"Abuja Central",2025-06,462.67,16.67,"Normal Downtime"
"Accra Downtown",2025-06,542.00,15.00,"Normal Downtime"
"Cape Town City Centre",2025-06,515.00,7.14,"Normal Downtime"
"Dubai DIFC",2025-06,654.67,16.67,"Normal Downtime"
"Frankfurt International",2025-06,539.00,6.25,"Normal Downtime"
"Ikeja GRA Lagos",2025-06,731.00,52.50,"Normal Downtime"
"Johannesburg Sandton",2025-06,488.00,30.00,"Normal Downtime"
"Kano Commercial District",2025-06,233.00,27.50,"Normal Downtime"
"Kumasi Branch",2025-06,161.50,42.50,"Normal Downtime"
"London Canary Wharf",2025-06,231.33,33.33,"Normal Downtime"
"Mombasa Coastal",2025-06,273.67,0.00,"Normal Downtime"
"Nairobi CBD",2025-06,661.50,25.00,"Normal Downtime"
"New York Midtown",2025-06,512.80,2.00,"Normal Downtime"
"Port Harcourt City",2025-06,323.25,42.50,"Normal Downtime"
"Victoria Island Lagos",2025-06,485.33,35.00,"Normal Downtime"
